 2023-01-12 17:12:21,744 - Key.shift
 2023-01-12 17:12:22,260 - '#'
 2023-01-12 17:12:22,672 - 't'
 2023-01-12 17:12:22,817 - 'h'
 2023-01-12 17:12:22,950 - 'i'
 2023-01-12 17:12:23,454 - 's'
 2023-01-12 17:12:23,665 - Key.space
 2023-01-12 17:12:23,807 - 'i'
 2023-01-12 17:12:23,944 - 's'
 2023-01-12 17:12:24,063 - Key.space
 2023-01-12 17:12:24,231 - 't'
 2023-01-12 17:12:24,343 - 'h'
 2023-01-12 17:12:24,531 - 'e'
 2023-01-12 17:12:24,612 - Key.space
 2023-01-12 17:12:24,846 - 'f'
 2023-01-12 17:12:24,968 - 'i'
 2023-01-12 17:12:25,040 - 'n'
 2023-01-12 17:12:25,185 - 'a'
 2023-01-12 17:12:25,318 - 'l'
 2023-01-12 17:12:25,508 - Key.space
 2023-01-12 17:12:26,622 - 't'
 2023-01-12 17:12:26,821 - 'e'
 2023-01-12 17:12:27,162 - 's'
 2023-01-12 17:12:27,344 - 't'
 2023-01-12 17:12:27,997 - Key.space
 2023-01-12 17:12:28,219 - 't'
 2023-01-12 17:12:28,437 - 'o'
 2023-01-12 17:12:28,964 - Key.space
 2023-01-12 17:12:29,207 - Key.backspace
 2023-01-12 17:12:29,388 - Key.backspace
 2023-01-12 17:12:29,574 - Key.backspace
 2023-01-12 17:12:29,765 - 'b'
 2023-01-12 17:12:30,232 - 'e'
 2023-01-12 17:12:30,448 - 'f'
 2023-01-12 17:12:30,653 - 'o'
 2023-01-12 17:12:30,787 - 'r'
 2023-01-12 17:12:30,840 - 'e'
 2023-01-12 17:12:31,002 - Key.space
 2023-01-12 17:12:31,359 - 's'
 2023-01-12 17:12:31,556 - 'e'
 2023-01-12 17:12:31,744 - 'n'
 2023-01-12 17:12:31,858 - 'd'
 2023-01-12 17:12:32,052 - 'i'
 2023-01-12 17:12:32,133 - 'n'
 2023-01-12 17:12:32,314 - 'g'
 2023-01-12 17:12:32,925 - '.'
